dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
949,55,U/Th unspecified,391.3,1.5,,unknown,100,150,9240,26,26,,,yes,2183,4,3183,424,,,1142,152,0.100989140794,0.000247406111913,1.2398,0.0016,,,Cheng et al. 2000,9142,36,36,yes,,yes,yes,yes,yes,yes
950,55,U/Th unspecified,426.6,1.5,,unknown,100,150,9293,25,25,,,yes,3216,6,394,8,,,13187,269,0.0978796436342,0.000221709792306,1.1955,0.0016,,,Cheng et al. 2000,9227,26,26,yes,,yes,yes,yes,yes,yes
951,55,U/Th unspecified,478,1.5,,unknown,100,150,9672,27,27,,,yes,2531,5,373,8,,,11765,239,0.105111511237,0.000250745619416,1.2352,0.0016,,,Cheng et al. 2000,9605,27,27,yes,,yes,yes,yes,yes,yes
952,55,U/Th unspecified,522.6,1.5,,unknown,100,150,9968,23,23,,,yes,3233,4,577,12,,,10020,204,0.10843338857,0.000204676455426,1.2379,0.0015,,,Cheng et al. 2000,9900,24,24,yes,,yes,yes,yes,yes,yes
953,55,U/Th unspecified,572.9,1.5,,unknown,100,150,10180,28,28,,,yes,1924,4,574,12,,,6089,123,0.110214822299,0.000252572770612,1.2332,0.0017,,,Cheng et al. 2000,10109,29,29,yes,,yes,yes,yes,yes,yes
954,55,U/Th unspecified,637,1.5,,unknown,100,150,10513,28,28,,,yes,1947,4,527,11,,,7056,143,0.115909529226,0.000262808954419,1.2573,0.0016,,,Cheng et al. 2000,10444,29,29,yes,,yes,yes,yes,yes,yes
955,55,U/Th unspecified,684.7,1.5,,unknown,100,150,10971,25,25,,,yes,1907,3,231,5,,,16353,338,0.120016887964,0.000221926648893,1.2501,0.0015,,,Cheng et al. 2000,10904,25,25,yes,,yes,yes,yes,yes,yes
956,55,U/Th unspecified,740,1.5,,unknown,100,150,11257,25,25,,,yes,1270,2,140,3,,,19128,395,0.127641424433,0.000226978019243,1.2966,0.0015,,,Cheng et al. 2000,11191,25,25,yes,,yes,yes,yes,yes,yes
957,55,U/Th unspecified,760.6,1.5,,unknown,100,150,11297,36,36,,,yes,1392,3,608,12,,,4807,99,0.1274058501,0.000347176659611,1.2869,0.0017,,,Cheng et al. 2000,11224,37,37,yes,,yes,yes,yes,yes,yes
958,55,U/Th unspecified,798.4,1.5,,unknown,100,150,11481,41,41,,,yes,1057,2,485,10,,,4774,97,0.1327,0.0004,1.3229,0.0021,,,Cheng et al. 2000,11407,41,41,yes,,yes,yes,yes,yes,yes
959,55,U/Th unspecified,842.4,1.5,,unknown,100,150,11851,38,38,,,yes,3147,3,9678,194,,,710,14,0.132341254984,0.000378668136205,1.2804,0.0013,,,Cheng et al. 2000,11718,62,62,yes,,yes,yes,yes,yes,yes
960,55,U/Th unspecified,864,1.5,,unknown,100,150,11969,49,49,,,yes,2303,5,431,9,,,11945,253,0.135667970269,0.000477045651567,1.3,0.0021,,,Cheng et al. 2000,11901,49,49,yes,,yes,yes,yes,yes,yes
961,55,U/Th unspecified,873.6,1.5,,unknown,100,150,12058,31,31,,,yes,3032,3,768,16,,,8828,190,0.135671649306,0.000295079746877,1.291,0.0015,,,Cheng et al. 2000,11989,31,31,yes,,yes,yes,yes,yes,yes
962,55,U/Th unspecified,880.5,1.5,,unknown,100,150,12208,31,31,,,yes,1532,3,375,8,,,9336,189,0.138432214448,0.000283244126609,1.3018,0.0016,,,Cheng et al. 2000,12139,31,31,yes,,yes,yes,yes,yes,yes
963,55,U/Th unspecified,883.8,1.5,,unknown,100,150,12672,73,73,,,no,148,0.1,52,2,,,6729,201,0.143896205446,0.000766551873416,1.3062,0.0016,,,Cheng et al. 2000,12600,73,73,no,,no,no,no,no,no
964,55,U/Th unspecified,897.6,1.5,,unknown,100,150,12483,31,31,,,yes,1139,1.6,130,3,,,20486,446,0.141647271564,0.000290875844766,1.3042,0.0015,,,Cheng et al. 2000,12417,31,31,yes,,yes,yes,yes,yes,yes
965,55,U/Th unspecified,903,1.5,,unknown,100,150,12734,82,82,,,yes,103,0.1,57,1,,,4327,105,0.144101601877,0.000848196739233,1.302,0.002,,,Cheng et al. 2000,12659,82,82,yes,,yes,yes,yes,yes,yes
966,55,U/Th unspecified,916.6,1.5,,unknown,100,150,12883,40,40,,,yes,1309,2,272,6,,,11193,235,0.141093702684,0.000371763359251,1.2614,0.0016,,,Cheng et al. 2000,12815,40,40,yes,,yes,yes,yes,yes,yes
967,55,U/Th unspecified,924.6,1.5,,unknown,100,150,13625,106,106,,,no,88,0.1,68,2,,,3214,83,0.149226552337,0.00107629021866,1.2653,0.0016,,,Cheng et al. 2000,13544,107,107,no,,no,no,no,no,no
968,55,U/Th unspecified,927.6,1.5,,unknown,100,150,13183,41,41,,,yes,1413,3,256,5,,,13002,277,0.14286771672,0.000360975204799,1.25,0.0019,,,Cheng et al. 2000,13115,41,41,yes,,yes,yes,yes,yes,yes
969,55,U/Th unspecified,946.9,1.5,,unknown,100,150,13535,33,33,,,yes,977,1.4,234,5,,,10129,208,0.147304761236,0.000288793891155,1.257,0.0015,,,Cheng et al. 2000,13466,33,33,yes,,yes,yes,yes,yes,yes
970,55,U/Th unspecified,1106.9,1.5,,unknown,100,150,13842,53,53,,,yes,524,0.7,726,15,,,1792,37,0.1507,0.0005,1.2589,0.0017,,,Cheng et al. 2000,13746,57,57,yes,,yes,yes,yes,yes,yes
971,55,U/Th unspecified,989,1.5,,unknown,100,150,13970,53,53,,,yes,2079,4,521,11,,,10017,209,0.152333128873,0.000500762565989,1.2617,0.0018,,,Cheng et al. 2000,13900,53,53,yes,,yes,yes,yes,yes,yes
