sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,bchron_age,bchron_age_uncert_pos,bchron_age_uncert_neg,bacon_age,bacon_age_uncert_pos,bacon_age_uncert_neg,oxcal_age,oxcal_age_uncert_pos,oxcal_age_uncert_neg,copra_age,copra_age_uncert_pos,copra_age_uncert_neg,stalage_age,stalage_age_uncert_pos,stalage_age_uncert_neg
25600,5579.802837,28.80650987,29.2009581,,,,5583,68,43.05,5581.541905,38.028245,44.95968765,5568.314634,106.9349024,106.9349024,5577.598357,26.12596646,26.57733704,5574.792591,22.37587891,23.67551729
25601,5582.94886,28.02766889,28.68245983,,,,5586,71,44,5584.384458,37.2449675,45.70925452,5571.631707,108.3480146,108.3480146,5580.490341,25.6424151,25.95116465,5578.085574,22.16794978,23.40363257
25602,5586.019909,27.2900895,28.21359416,,,,5589,70.05,44,5587.26298,36.424556,46.37572,5575.046341,109.5372829,109.5372829,5583.336082,25.03984308,25.31901011,5581.363385,22.00519759,23.10240384
25603,5589.005193,26.92320723,27.54900147,,,,5592,69.1,45,5590.183755,35.83713375,46.76795038,5578.278049,110.8696732,110.8696732,5586.342795,24.36054409,24.75178913,5584.63515,21.88736772,22.78168191
25604,5591.9746,26.53769097,26.92431995,,,,5595,68,46,5592.958825,35.2302375,48.32597,5581.44878,112.2497707,112.2497707,5589.273112,23.83826618,24.0932758,5587.909192,21.79081527,22.46041925
25605,5595.016719,25.98952619,26.3058691,,,,5598,66,47,5595.85105,34.4331155,49.864207,5585.131707,113.3975366,113.3975366,5592.179402,23.35725664,23.53268844,5591.193635,21.6860478,22.15984373
25606,5598.069346,25.71467879,25.92189022,,,,5600,67,48,5598.75272,33.789244,50.8491992,5589.034146,114.4457317,114.4457317,5595.185566,22.81027122,22.95461281,5594.496601,21.54357286,21.90118322
25607,5601.137545,25.26069477,25.30804599,,,,5603,66.1,49,5601.54937,33.433979,52.91029575,5592.936585,115.5568976,115.5568976,5598.240716,22.32903786,22.46308837,5597.82309,21.34250935,21.69695883
25608,5604.184149,24.73811816,24.83224618,,,,5606,66,50,5604.32418,32.8299285,54.46212195,5596.839024,116.7019707,116.7019707,5601.33016,21.75635291,22.00314392,5601.165611,21.09642158,21.5248645
25609,5607.1579,24.17162937,24.12249839,,,,5609,65,51.05,5607.071225,32.2817825,56.8050555,5600.741463,117.3985951,117.3985951,5604.365808,21.1189939,21.43173801,5604.513553,20.82748522,21.35388741
25610,5610.184343,23.56726598,23.44409408,,,,5612,64,52.05,5609.86927,31.663353,58.3494917,5604.643902,117.7962537,117.7962537,5607.440254,20.56009943,21.03978632,5607.856302,20.55787591,21.15301474
25611,5613.216466,22.95722299,22.99083282,,,,5615,62,54,5612.738053,31.12289575,58.7561175,5608.680488,118.2940927,118.2940927,5610.354976,20.17029696,20.48164349,5611.186616,20.30406083,20.90012377
25612,5616.329943,22.44822022,22.5685136,,,,5618,61,55,5615.711875,30.2515205,60.963425,5612.826829,118.8738976,118.8738976,5613.321721,19.64267288,19.95797868,5614.510733,20.05967322,20.60865226
25613,5619.369228,21.89868402,22.13498761,,,,5621,60,56.05,5618.71729,29.433875,63.613448,5616.973171,119.2369707,119.2369707,5616.321836,19.38282102,19.46611686,5617.838263,19.81263783,20.30092805
25614,5622.443724,21.29739759,21.83881305,,,,5624,59,58,5621.6992,28.90445,66.24708,5621.119512,119.3833122,119.3833122,5619.277436,19.15538542,18.89092395,5621.178815,19.5508794,19.99927901
25615,5625.496531,20.73673568,21.27129828,,,,5627,57.05,59,5624.440275,28.55147125,68.4565,5625.156098,119.612761,119.612761,5622.306206,18.83027043,18.44025273,5624.538579,19.2663855,19.7215771
25616,5628.534158,20.38241863,20.67356035,,,,5630,56,60.05,5627.453635,28.0175495,71.117959,5629.058537,119.9437854,119.9437854,5625.363351,18.55066276,18.22359779,5627.910061,18.96739496,19.46787068
25617,5631.503393,20.0486297,20.03717808,,,,5633,54,61.05,5630.460373,27.18399375,73.46802827,5633.058537,119.9021268,119.9021268,5628.387053,18.32155081,17.75334676,5631.282348,18.66620941,19.23375221
25618,5634.508644,19.7688891,19.44077909,,,,5636,53,62,5633.42047,26.54457,75.4904017,5637.204878,119.3014439,119.3014439,5631.502652,17.86552454,17.63393888,5634.644525,18.3751305,19.01481414
25619,5637.506742,19.45195767,19.0034883,,,,5639,51,64.05,5636.288475,25.92723375,78.05455287,5641.35122,118.7617463,118.7617463,5634.560389,17.4734234,17.36662929,5637.989103,18.10302623,18.80677167
25620,5640.525206,19.116363,18.51758615,,,,5642,50,66,5639.07518,25.3648325,80.53740405,5645.497561,118.3353073,118.3353073,5637.688351,17.21332427,17.0580838,5641.322278,17.84503012,18.6058309
