sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
69599,8436.3,,,other (see notes),not applicable,not applicable
69600,8436.6,,,other (see notes),not applicable,not applicable
69601,8438.5,,,other (see notes),not applicable,not applicable
69602,8440.4,,,other (see notes),not applicable,not applicable
69603,8442.3,,,other (see notes),not applicable,not applicable
69604,8444.2,,,other (see notes),not applicable,not applicable
69605,8444.6,,,other (see notes),not applicable,not applicable
69606,8446.1,,,other (see notes),not applicable,not applicable
69607,8448,,,other (see notes),not applicable,not applicable
69608,8449.9,,,other (see notes),not applicable,not applicable
69609,8451.8,,,other (see notes),not applicable,not applicable
69610,8452.8,,,other (see notes),not applicable,not applicable
69611,8453.7,,,other (see notes),not applicable,not applicable
69612,8455.6,,,other (see notes),not applicable,not applicable
69613,8457.5,,,other (see notes),not applicable,not applicable
69614,8459.4,,,other (see notes),not applicable,not applicable
69615,8461.1,,,other (see notes),not applicable,not applicable
69616,8461.3,,,other (see notes),not applicable,not applicable
69617,8469.3,,,other (see notes),not applicable,not applicable
69618,8477.6,,,other (see notes),not applicable,not applicable
69619,8485.8,,,other (see notes),not applicable,not applicable
69620,8494.8,,,other (see notes),not applicable,not applicable
69621,8506.1,,,other (see notes),not applicable,not applicable
69622,8517.4,,,other (see notes),not applicable,not applicable
69623,8528.7,,,other (see notes),not applicable,not applicable
69624,8539.9,,,other (see notes),not applicable,not applicable
69625,8551.2,,,other (see notes),not applicable,not applicable
69626,8562.5,,,other (see notes),not applicable,not applicable
69627,8573.8,,,other (see notes),not applicable,not applicable
69628,8585.1,,,other (see notes),not applicable,not applicable
69629,8596.3,,,other (see notes),not applicable,not applicable
69630,8607.6,,,other (see notes),not applicable,not applicable
69631,8618.9,,,other (see notes),not applicable,not applicable
69632,8630.2,,,other (see notes),not applicable,not applicable
69633,8641.5,,,other (see notes),not applicable,not applicable
69634,8652.7,,,other (see notes),not applicable,not applicable
69635,8664,,,other (see notes),not applicable,not applicable
69636,8675.3,,,other (see notes),not applicable,not applicable
69637,8686.6,,,other (see notes),not applicable,not applicable
69638,8697.9,,,other (see notes),not applicable,not applicable
69639,8709.1,,,other (see notes),not applicable,not applicable
69640,8720.4,,,other (see notes),not applicable,not applicable
69641,8731.7,,,other (see notes),not applicable,not applicable
69642,8743,,,other (see notes),not applicable,not applicable
69643,8754.3,,,other (see notes),not applicable,not applicable
69644,8765.5,,,other (see notes),not applicable,not applicable
69645,8779.3,,,other (see notes),not applicable,not applicable
69646,8800.6,,,other (see notes),not applicable,not applicable
69647,8822,,,other (see notes),not applicable,not applicable
69648,8843.3,,,other (see notes),not applicable,not applicable
69649,8864.6,,,other (see notes),not applicable,not applicable
69650,8885.9,,,other (see notes),not applicable,not applicable
69651,8907.2,,,other (see notes),not applicable,not applicable
69652,8928.6,,,other (see notes),not applicable,not applicable
69653,8949.9,,,other (see notes),not applicable,not applicable
69654,8971.2,,,other (see notes),not applicable,not applicable
69655,8992.5,,,other (see notes),not applicable,not applicable
69656,9013.9,,,other (see notes),not applicable,not applicable
69657,9035.2,,,other (see notes),not applicable,not applicable
69658,9056.5,,,other (see notes),not applicable,not applicable
69659,9077.8,,,other (see notes),not applicable,not applicable
69660,9099.1,,,other (see notes),not applicable,not applicable
69661,9120.5,,,other (see notes),not applicable,not applicable
69662,9141.8,,,other (see notes),not applicable,not applicable
69663,9163.1,,,other (see notes),not applicable,not applicable
69664,9184.4,,,other (see notes),not applicable,not applicable
69665,9205.7,,,other (see notes),not applicable,not applicable
69666,9227.1,,,other (see notes),not applicable,not applicable
69667,9248.4,,,other (see notes),not applicable,not applicable
69668,9269.7,,,other (see notes),not applicable,not applicable
69669,9291,,,other (see notes),not applicable,not applicable
69670,9312.3,,,other (see notes),not applicable,not applicable
69671,9333.7,,,other (see notes),not applicable,not applicable
69672,9355,,,other (see notes),not applicable,not applicable
69673,9376.3,,,other (see notes),not applicable,not applicable
69674,9397.6,,,other (see notes),not applicable,not applicable
69675,9418.9,,,other (see notes),not applicable,not applicable
69676,9440.2,,,other (see notes),not applicable,not applicable
69677,9461.6,,,other (see notes),not applicable,not applicable
69678,9482.9,,,other (see notes),not applicable,not applicable
69679,9504.2,,,other (see notes),not applicable,not applicable
69680,9525.5,,,other (see notes),not applicable,not applicable
69681,9546.8,,,other (see notes),not applicable,not applicable
69682,9568.2,,,other (see notes),not applicable,not applicable
69683,9589.5,,,other (see notes),not applicable,not applicable
69684,9610.8,,,other (see notes),not applicable,not applicable
69685,9632.1,,,other (see notes),not applicable,not applicable
69686,9653.4,,,other (see notes),not applicable,not applicable
69687,9674.8,,,other (see notes),not applicable,not applicable
69688,9696.1,,,other (see notes),not applicable,not applicable
69689,9717.4,,,other (see notes),not applicable,not applicable
69690,9738.7,,,other (see notes),not applicable,not applicable
69691,9760,,,other (see notes),not applicable,not applicable
69692,9781.4,,,other (see notes),not applicable,not applicable
69693,9802.7,,,other (see notes),not applicable,not applicable
69694,9824,,,other (see notes),not applicable,not applicable
69695,9845.3,,,other (see notes),not applicable,not applicable
69696,9866.7,,,other (see notes),not applicable,not applicable
69697,9888,,,other (see notes),not applicable,not applicable
69698,9909.3,,,other (see notes),not applicable,not applicable
69699,9930.6,,,other (see notes),not applicable,not applicable
74798,9636.5,,,linear between dates,not applicable,not applicable
74799,9641,,,linear between dates,not applicable,not applicable
74800,9645.5,,,linear between dates,not applicable,not applicable
74801,9650,,,linear between dates,not applicable,not applicable
74802,9654.5,,,linear between dates,not applicable,not applicable
74803,9659,,,linear between dates,not applicable,not applicable
74804,9663.5,,,linear between dates,not applicable,not applicable
74805,9668,,,linear between dates,not applicable,not applicable
74806,9672.5,,,linear between dates,not applicable,not applicable
74807,9677,,,linear between dates,not applicable,not applicable
74808,9681.5,,,linear between dates,not applicable,not applicable
74809,9686,,,linear between dates,not applicable,not applicable
74810,9690.5,,,linear between dates,not applicable,not applicable
74811,9695,,,linear between dates,not applicable,not applicable
74812,9699.5,,,linear between dates,not applicable,not applicable
74813,9704,,,linear between dates,not applicable,not applicable
74814,9708.5,,,linear between dates,not applicable,not applicable
74815,9713,,,linear between dates,not applicable,not applicable
74816,9717.5,,,linear between dates,not applicable,not applicable
74817,9722,,,linear between dates,not applicable,not applicable
74818,9726.5,,,linear between dates,not applicable,not applicable
74819,9731,,,linear between dates,not applicable,not applicable
74820,9735.5,,,linear between dates,not applicable,not applicable
74821,9740,,,linear between dates,not applicable,not applicable
74822,9744.5,,,linear between dates,not applicable,not applicable
74823,9749,,,linear between dates,not applicable,not applicable
74824,9753.5,,,linear between dates,not applicable,not applicable
74825,9758,,,linear between dates,not applicable,not applicable
74826,9762.5,,,linear between dates,not applicable,not applicable
74827,9767,,,linear between dates,not applicable,not applicable
74828,9771.5,,,linear between dates,not applicable,not applicable
74829,9776,,,linear between dates,not applicable,not applicable
74830,9780.5,,,linear between dates,not applicable,not applicable
74831,9785,,,linear between dates,not applicable,not applicable
74832,9789.5,,,linear between dates,not applicable,not applicable
74833,9794,,,linear between dates,not applicable,not applicable
74834,9798.5,,,linear between dates,not applicable,not applicable
74835,9803,,,linear between dates,not applicable,not applicable
74836,9807.5,,,linear between dates,not applicable,not applicable
74837,9812,,,linear between dates,not applicable,not applicable
74838,9816.5,,,linear between dates,not applicable,not applicable
74839,9821,,,linear between dates,not applicable,not applicable
74840,9825.5,,,linear between dates,not applicable,not applicable
74841,9830,,,linear between dates,not applicable,not applicable
74842,9834.5,,,linear between dates,not applicable,not applicable
74843,9839,,,linear between dates,not applicable,not applicable
74844,9843.5,,,linear between dates,not applicable,not applicable
74845,9848,,,linear between dates,not applicable,not applicable
74846,9852.5,,,linear between dates,not applicable,not applicable
74847,9857,,,linear between dates,not applicable,not applicable
74848,9861.5,,,linear between dates,not applicable,not applicable
74849,9866,,,linear between dates,not applicable,not applicable
74850,9870.5,,,linear between dates,not applicable,not applicable
74851,9875,,,linear between dates,not applicable,not applicable
74852,9879.5,,,linear between dates,not applicable,not applicable
74853,9884,,,linear between dates,not applicable,not applicable
74854,9888.5,,,linear between dates,not applicable,not applicable
74855,9893,,,linear between dates,not applicable,not applicable
74856,9897.5,,,linear between dates,not applicable,not applicable
74857,9902,,,linear between dates,not applicable,not applicable
74858,9906.5,,,linear between dates,not applicable,not applicable
74859,9911,,,linear between dates,not applicable,not applicable
74860,9915.5,,,linear between dates,not applicable,not applicable
74861,9920,,,linear between dates,not applicable,not applicable
74862,9924.5,,,linear between dates,not applicable,not applicable
74863,9929,,,linear between dates,not applicable,not applicable
74864,9933.5,,,linear between dates,not applicable,not applicable
74865,9938,,,linear between dates,not applicable,not applicable
74866,9942.5,,,linear between dates,not applicable,not applicable
74867,9947,,,linear between dates,not applicable,not applicable
74868,9951.5,,,linear between dates,not applicable,not applicable
74869,9956,,,linear between dates,not applicable,not applicable
74870,9960.5,,,linear between dates,not applicable,not applicable
74871,9965,,,linear between dates,not applicable,not applicable
74872,9969.5,,,linear between dates,not applicable,not applicable
74873,9974,,,linear between dates,not applicable,not applicable
74874,9978.5,,,linear between dates,not applicable,not applicable
74875,9983,,,linear between dates,not applicable,not applicable
74876,9987.5,,,linear between dates,not applicable,not applicable
74877,9992,,,linear between dates,not applicable,not applicable
74878,9996.5,,,linear between dates,not applicable,not applicable
74879,10001,,,linear between dates,not applicable,not applicable
74880,10005.5,,,linear between dates,not applicable,not applicable
74881,10010,,,linear between dates,not applicable,not applicable
74882,10014.5,,,linear between dates,not applicable,not applicable
74883,10019,,,linear between dates,not applicable,not applicable
74884,10023.5,,,linear between dates,not applicable,not applicable
74885,10028,,,linear between dates,not applicable,not applicable
74886,10032.5,,,linear between dates,not applicable,not applicable
74887,10037,,,linear between dates,not applicable,not applicable
74888,10041.5,,,linear between dates,not applicable,not applicable
74889,10046,,,linear between dates,not applicable,not applicable
74890,10050.5,,,linear between dates,not applicable,not applicable
74891,10055,,,linear between dates,not applicable,not applicable
74892,10059.5,,,linear between dates,not applicable,not applicable
74893,10064,,,linear between dates,not applicable,not applicable
74894,10068.5,,,linear between dates,not applicable,not applicable
74895,10073,,,linear between dates,not applicable,not applicable
74896,10077.5,,,linear between dates,not applicable,not applicable
74897,10082,,,linear between dates,not applicable,not applicable
74898,10086.5,,,linear between dates,not applicable,not applicable
74899,10091,,,linear between dates,not applicable,not applicable
74900,10095.5,,,linear between dates,not applicable,not applicable
74901,10100,,,linear between dates,not applicable,not applicable
74902,10104.5,,,linear between dates,not applicable,not applicable
74903,10109,,,linear between dates,not applicable,not applicable
74904,10113.5,,,linear between dates,not applicable,not applicable
74905,10118,,,linear between dates,not applicable,not applicable
74906,10122.5,,,linear between dates,not applicable,not applicable
74907,10127,,,linear between dates,not applicable,not applicable
74908,10131.5,,,linear between dates,not applicable,not applicable
74909,10136,,,linear between dates,not applicable,not applicable
74910,10140.5,,,linear between dates,not applicable,not applicable
74911,10145,,,linear between dates,not applicable,not applicable
74912,10149.5,,,linear between dates,not applicable,not applicable
74913,10154,,,linear between dates,not applicable,not applicable
74914,10158.5,,,linear between dates,not applicable,not applicable
74915,10163,,,linear between dates,not applicable,not applicable
74916,10167.5,,,linear between dates,not applicable,not applicable
74917,10172,,,linear between dates,not applicable,not applicable
74918,10176.5,,,linear between dates,not applicable,not applicable
74919,10181,,,linear between dates,not applicable,not applicable
74920,10185.5,,,linear between dates,not applicable,not applicable
74921,10190,,,linear between dates,not applicable,not applicable
74922,10194.5,,,linear between dates,not applicable,not applicable
74923,10199,,,linear between dates,not applicable,not applicable
74924,10199.2,,,linear between dates,not applicable,not applicable
74925,10199.3,,,linear between dates,not applicable,not applicable
74926,10199.5,,,linear between dates,not applicable,not applicable
74927,10199.7,,,linear between dates,not applicable,not applicable
74928,10199.8,,,linear between dates,not applicable,not applicable
74929,10200,,,linear between dates,not applicable,not applicable
74930,10200.2,,,linear between dates,not applicable,not applicable
74931,10200.3,,,linear between dates,not applicable,not applicable
74932,10200.5,,,linear between dates,not applicable,not applicable
74933,10200.7,,,linear between dates,not applicable,not applicable
74934,10200.8,,,linear between dates,not applicable,not applicable
74935,10201,,,linear between dates,not applicable,not applicable
74936,10201.2,,,linear between dates,not applicable,not applicable
74937,10201.3,,,linear between dates,not applicable,not applicable
74938,10201.5,,,linear between dates,not applicable,not applicable
74939,10201.7,,,linear between dates,not applicable,not applicable
74940,10201.8,,,linear between dates,not applicable,not applicable
74941,10202,,,linear between dates,not applicable,not applicable
74942,10202.2,,,linear between dates,not applicable,not applicable
74943,10202.3,,,linear between dates,not applicable,not applicable
74944,10202.5,,,linear between dates,not applicable,not applicable
74945,10202.7,,,linear between dates,not applicable,not applicable
74946,10202.8,,,linear between dates,not applicable,not applicable
74947,10203,,,linear between dates,not applicable,not applicable
74948,10203.2,,,linear between dates,not applicable,not applicable
74949,10203.3,,,linear between dates,not applicable,not applicable
74950,10203.5,,,linear between dates,not applicable,not applicable
74951,10203.7,,,linear between dates,not applicable,not applicable
74952,10203.8,,,linear between dates,not applicable,not applicable
74953,10204,,,linear between dates,not applicable,not applicable
74954,10204.2,,,linear between dates,not applicable,not applicable
74955,10204.3,,,linear between dates,not applicable,not applicable
74956,10204.5,,,linear between dates,not applicable,not applicable
74957,10204.7,,,linear between dates,not applicable,not applicable
74958,10204.8,,,linear between dates,not applicable,not applicable
74959,10205,,,linear between dates,not applicable,not applicable
74960,10205.2,,,linear between dates,not applicable,not applicable
74961,10205.3,,,linear between dates,not applicable,not applicable
74962,10205.5,,,linear between dates,not applicable,not applicable
74963,10205.7,,,linear between dates,not applicable,not applicable
74964,10205.8,,,linear between dates,not applicable,not applicable
74965,10206,,,linear between dates,not applicable,not applicable
74966,10206.2,,,linear between dates,not applicable,not applicable
74967,10206.3,,,linear between dates,not applicable,not applicable
74968,10206.5,,,linear between dates,not applicable,not applicable
74969,10206.7,,,linear between dates,not applicable,not applicable
74970,10206.8,,,linear between dates,not applicable,not applicable
74971,10207,,,linear between dates,not applicable,not applicable
74972,10207.2,,,linear between dates,not applicable,not applicable
74973,10207.3,,,linear between dates,not applicable,not applicable
74974,10207.5,,,linear between dates,not applicable,not applicable
74975,10207.7,,,linear between dates,not applicable,not applicable
74976,10207.8,,,linear between dates,not applicable,not applicable
74977,10208,,,linear between dates,not applicable,not applicable
74978,10208.2,,,linear between dates,not applicable,not applicable
74979,10208.3,,,linear between dates,not applicable,not applicable
74980,10208.5,,,linear between dates,not applicable,not applicable
74981,10208.7,,,linear between dates,not applicable,not applicable
74982,10208.8,,,linear between dates,not applicable,not applicable
74983,10209,,,linear between dates,not applicable,not applicable
74984,10209.2,,,linear between dates,not applicable,not applicable
74985,10209.3,,,linear between dates,not applicable,not applicable
74986,10209.5,,,linear between dates,not applicable,not applicable
74987,10209.7,,,linear between dates,not applicable,not applicable
74988,10209.8,,,linear between dates,not applicable,not applicable
74989,10210,,,linear between dates,not applicable,not applicable
74990,10210.2,,,linear between dates,not applicable,not applicable
74991,10210.3,,,linear between dates,not applicable,not applicable
74992,10210.5,,,linear between dates,not applicable,not applicable
74993,10210.7,,,linear between dates,not applicable,not applicable
74994,10210.8,,,linear between dates,not applicable,not applicable
74995,10211,,,linear between dates,not applicable,not applicable
74996,10211.2,,,linear between dates,not applicable,not applicable
74997,10211.3,,,linear between dates,not applicable,not applicable
74998,10211.5,,,linear between dates,not applicable,not applicable
74999,10211.7,,,linear between dates,not applicable,not applicable
75000,10211.8,,,linear between dates,not applicable,not applicable
75001,10212,,,linear between dates,not applicable,not applicable
75002,10212.2,,,linear between dates,not applicable,not applicable
75003,10212.3,,,linear between dates,not applicable,not applicable
75004,10212.5,,,linear between dates,not applicable,not applicable
75005,10212.7,,,linear between dates,not applicable,not applicable
75006,10212.8,,,linear between dates,not applicable,not applicable
75007,10213,,,linear between dates,not applicable,not applicable
75008,10213.2,,,linear between dates,not applicable,not applicable
75009,10213.3,,,linear between dates,not applicable,not applicable
75010,10213.5,,,linear between dates,not applicable,not applicable
75011,10213.7,,,linear between dates,not applicable,not applicable
75012,10213.8,,,linear between dates,not applicable,not applicable
75013,10214,,,linear between dates,not applicable,not applicable
75014,10215,,,linear between dates,not applicable,not applicable
75015,10216,,,linear between dates,not applicable,not applicable
75016,10216.9,,,linear between dates,not applicable,not applicable
75017,10217.9,,,linear between dates,not applicable,not applicable
75018,10218.9,,,linear between dates,not applicable,not applicable
75019,10219.9,,,linear between dates,not applicable,not applicable
75020,10220.9,,,linear between dates,not applicable,not applicable
75021,10221.8,,,linear between dates,not applicable,not applicable
75022,10222.8,,,linear between dates,not applicable,not applicable
75023,10223.8,,,linear between dates,not applicable,not applicable
75024,10224.8,,,linear between dates,not applicable,not applicable
75025,10225.8,,,linear between dates,not applicable,not applicable
75026,10226.8,,,linear between dates,not applicable,not applicable
75027,10227.7,,,linear between dates,not applicable,not applicable
75028,10228.7,,,linear between dates,not applicable,not applicable
75029,10229.7,,,linear between dates,not applicable,not applicable
75030,10230.7,,,linear between dates,not applicable,not applicable
75031,10231.7,,,linear between dates,not applicable,not applicable
75032,10232.6,,,linear between dates,not applicable,not applicable
75033,10233.6,,,linear between dates,not applicable,not applicable
75034,10234.6,,,linear between dates,not applicable,not applicable
75035,10235.6,,,linear between dates,not applicable,not applicable
75036,10236.6,,,linear between dates,not applicable,not applicable
75037,10237.5,,,linear between dates,not applicable,not applicable
75038,10238.5,,,linear between dates,not applicable,not applicable
75039,10239.5,,,linear between dates,not applicable,not applicable
75040,10240.5,,,linear between dates,not applicable,not applicable
75041,10241.5,,,linear between dates,not applicable,not applicable
75042,10242.4,,,linear between dates,not applicable,not applicable
75043,10243.4,,,linear between dates,not applicable,not applicable
75044,10244.4,,,linear between dates,not applicable,not applicable
75045,10245.4,,,linear between dates,not applicable,not applicable
75046,10246.4,,,linear between dates,not applicable,not applicable
75047,10247.4,,,linear between dates,not applicable,not applicable
75048,10248.3,,,linear between dates,not applicable,not applicable
75049,10249.3,,,linear between dates,not applicable,not applicable
75050,10250.3,,,linear between dates,not applicable,not applicable
75051,10251.3,,,linear between dates,not applicable,not applicable
75052,10252.3,,,linear between dates,not applicable,not applicable
75053,10253.2,,,linear between dates,not applicable,not applicable
75054,10254.2,,,linear between dates,not applicable,not applicable
75055,10255.2,,,linear between dates,not applicable,not applicable
75056,10256.2,,,linear between dates,not applicable,not applicable
75057,10257.2,,,linear between dates,not applicable,not applicable
75058,10258.1,,,linear between dates,not applicable,not applicable
75059,10259.1,,,linear between dates,not applicable,not applicable
75060,10260.1,,,linear between dates,not applicable,not applicable
75061,10261.1,,,linear between dates,not applicable,not applicable
75062,10262.1,,,linear between dates,not applicable,not applicable
75063,10263,,,linear between dates,not applicable,not applicable
75064,10264,,,linear between dates,not applicable,not applicable
75065,10265,,,linear between dates,not applicable,not applicable
75066,10266,,,linear between dates,not applicable,not applicable
75067,10267,,,linear between dates,not applicable,not applicable
75068,10268,,,linear between dates,not applicable,not applicable
75069,10268.9,,,linear between dates,not applicable,not applicable
75070,10269.9,,,linear between dates,not applicable,not applicable
75071,10270.9,,,linear between dates,not applicable,not applicable
75072,10271.9,,,linear between dates,not applicable,not applicable
75073,10272.9,,,linear between dates,not applicable,not applicable
75074,10273.8,,,linear between dates,not applicable,not applicable
75075,10274.8,,,linear between dates,not applicable,not applicable
75076,10275.8,,,linear between dates,not applicable,not applicable
75077,10276.8,,,linear between dates,not applicable,not applicable
75078,10277.8,,,linear between dates,not applicable,not applicable
75079,10278.7,,,linear between dates,not applicable,not applicable
75080,10279.7,,,linear between dates,not applicable,not applicable
75081,10280.7,,,linear between dates,not applicable,not applicable
75082,10281.7,,,linear between dates,not applicable,not applicable
75083,10282.7,,,linear between dates,not applicable,not applicable
75084,10283.6,,,linear between dates,not applicable,not applicable
75085,10284.6,,,linear between dates,not applicable,not applicable
75086,10285.6,,,linear between dates,not applicable,not applicable
75087,10286.6,,,linear between dates,not applicable,not applicable
75088,10287.6,,,linear between dates,not applicable,not applicable
75089,10288.6,,,linear between dates,not applicable,not applicable
75090,10289.5,,,linear between dates,not applicable,not applicable
75091,10290.5,,,linear between dates,not applicable,not applicable
75092,10291.5,,,linear between dates,not applicable,not applicable
75093,10292.5,,,linear between dates,not applicable,not applicable
75094,10293.5,,,linear between dates,not applicable,not applicable
75095,10294.4,,,linear between dates,not applicable,not applicable
75096,10295.4,,,linear between dates,not applicable,not applicable
75097,10296.4,,,linear between dates,not applicable,not applicable
75098,10297.4,,,linear between dates,not applicable,not applicable
75099,10298.4,,,linear between dates,not applicable,not applicable
75100,10299.3,,,linear between dates,not applicable,not applicable
75101,10300.3,,,linear between dates,not applicable,not applicable
75102,10301.3,,,linear between dates,not applicable,not applicable
75103,10302.3,,,linear between dates,not applicable,not applicable
75104,10303.3,,,linear between dates,not applicable,not applicable
75105,10304.2,,,linear between dates,not applicable,not applicable
75106,10305.2,,,linear between dates,not applicable,not applicable
75107,10306.2,,,linear between dates,not applicable,not applicable
75108,10307.2,,,linear between dates,not applicable,not applicable
75109,10308.2,,,linear between dates,not applicable,not applicable
75110,10309.2,,,linear between dates,not applicable,not applicable
75111,10310.1,,,linear between dates,not applicable,not applicable
75112,10311.1,,,linear between dates,not applicable,not applicable
75113,10312.1,,,linear between dates,not applicable,not applicable
75114,10313.1,,,linear between dates,not applicable,not applicable
75115,10314.1,,,linear between dates,not applicable,not applicable
75116,10315,,,linear between dates,not applicable,not applicable
75117,10317,,,linear between dates,not applicable,not applicable
75118,10318.6,,,linear between dates,not applicable,not applicable
75119,10320.3,,,linear between dates,not applicable,not applicable
75120,10321.9,,,linear between dates,not applicable,not applicable
75121,10323.5,,,linear between dates,not applicable,not applicable
75122,10325.1,,,linear between dates,not applicable,not applicable
75123,10326.8,,,linear between dates,not applicable,not applicable
75124,10328.4,,,linear between dates,not applicable,not applicable
75125,10330,,,linear between dates,not applicable,not applicable
75126,10331.6,,,linear between dates,not applicable,not applicable
75127,10333.3,,,linear between dates,not applicable,not applicable
75128,10334.9,,,linear between dates,not applicable,not applicable
75129,10336.5,,,linear between dates,not applicable,not applicable
75130,10338.2,,,linear between dates,not applicable,not applicable
75131,10339.8,,,linear between dates,not applicable,not applicable
75132,10341.4,,,linear between dates,not applicable,not applicable
75133,10343,,,linear between dates,not applicable,not applicable
75134,10344.7,,,linear between dates,not applicable,not applicable
75135,10346.3,,,linear between dates,not applicable,not applicable
75136,10347.9,,,linear between dates,not applicable,not applicable
75137,10349.5,,,linear between dates,not applicable,not applicable
75138,10351.2,,,linear between dates,not applicable,not applicable
75139,10352.8,,,linear between dates,not applicable,not applicable
75140,10354.4,,,linear between dates,not applicable,not applicable
75141,10356.1,,,linear between dates,not applicable,not applicable
75142,10357.7,,,linear between dates,not applicable,not applicable
75143,10359.3,,,linear between dates,not applicable,not applicable
75144,10360.9,,,linear between dates,not applicable,not applicable
75145,10362.6,,,linear between dates,not applicable,not applicable
75146,10364.2,,,linear between dates,not applicable,not applicable
75147,10365.8,,,linear between dates,not applicable,not applicable
75148,10367.4,,,linear between dates,not applicable,not applicable
75149,10369.1,,,linear between dates,not applicable,not applicable
75150,10370.7,,,linear between dates,not applicable,not applicable
75151,10372.3,,,linear between dates,not applicable,not applicable
75152,10374,,,linear between dates,not applicable,not applicable
75153,10375.6,,,linear between dates,not applicable,not applicable
75154,10377.2,,,linear between dates,not applicable,not applicable
75155,10378.8,,,linear between dates,not applicable,not applicable
75156,10380.5,,,linear between dates,not applicable,not applicable
75157,10382.1,,,linear between dates,not applicable,not applicable
75158,10383.7,,,linear between dates,not applicable,not applicable
75159,10385.3,,,linear between dates,not applicable,not applicable
75160,10387,,,linear between dates,not applicable,not applicable
75161,10388.6,,,linear between dates,not applicable,not applicable
75162,10390.2,,,linear between dates,not applicable,not applicable
75163,10391.9,,,linear between dates,not applicable,not applicable
75164,10393.5,,,linear between dates,not applicable,not applicable
75165,10395.1,,,linear between dates,not applicable,not applicable
75166,10396.7,,,linear between dates,not applicable,not applicable
75167,10398.4,,,linear between dates,not applicable,not applicable
75168,10400,,,linear between dates,not applicable,not applicable
75169,10401.6,,,linear between dates,not applicable,not applicable
75170,10403.2,,,linear between dates,not applicable,not applicable
75171,10404.9,,,linear between dates,not applicable,not applicable
75172,10406.5,,,linear between dates,not applicable,not applicable
75173,10408.1,,,linear between dates,not applicable,not applicable
75174,10409.8,,,linear between dates,not applicable,not applicable
75175,10411.4,,,linear between dates,not applicable,not applicable
75176,10413,,,linear between dates,not applicable,not applicable
75177,10414.6,,,linear between dates,not applicable,not applicable
75178,10416.3,,,linear between dates,not applicable,not applicable
75179,10417.9,,,linear between dates,not applicable,not applicable
75180,10419.5,,,linear between dates,not applicable,not applicable
75181,10421.1,,,linear between dates,not applicable,not applicable
75182,10422.8,,,linear between dates,not applicable,not applicable
75183,10424.4,,,linear between dates,not applicable,not applicable
75184,10426,,,linear between dates,not applicable,not applicable
75185,10427.7,,,linear between dates,not applicable,not applicable
75186,10429.3,,,linear between dates,not applicable,not applicable
75187,10430.9,,,linear between dates,not applicable,not applicable
75188,10432.5,,,linear between dates,not applicable,not applicable
75189,10434.2,,,linear between dates,not applicable,not applicable
75190,10435.8,,,linear between dates,not applicable,not applicable
75191,10437.4,,,linear between dates,not applicable,not applicable
75192,10439,,,linear between dates,not applicable,not applicable
75193,10440.7,,,linear between dates,not applicable,not applicable
75194,10442.3,,,linear between dates,not applicable,not applicable
75195,10443.9,,,linear between dates,not applicable,not applicable
75196,10445.6,,,linear between dates,not applicable,not applicable
75197,10447.2,,,linear between dates,not applicable,not applicable
75198,10448.8,,,linear between dates,not applicable,not applicable
75199,10450.4,,,linear between dates,not applicable,not applicable
75200,10452.1,,,linear between dates,not applicable,not applicable
75201,10453.7,,,linear between dates,not applicable,not applicable
75202,10455.3,,,linear between dates,not applicable,not applicable
75203,10456.9,,,linear between dates,not applicable,not applicable
75204,10458.6,,,linear between dates,not applicable,not applicable
75205,10460.2,,,linear between dates,not applicable,not applicable
75206,10461.8,,,linear between dates,not applicable,not applicable
75207,10463.5,,,linear between dates,not applicable,not applicable
75208,10465.1,,,linear between dates,not applicable,not applicable
75209,10466.7,,,linear between dates,not applicable,not applicable
75210,10468.3,,,linear between dates,not applicable,not applicable
75211,10470,,,linear between dates,not applicable,not applicable
75212,10471.6,,,linear between dates,not applicable,not applicable
75213,10473.2,,,linear between dates,not applicable,not applicable
75214,10474.8,,,linear between dates,not applicable,not applicable
75215,10476.5,,,linear between dates,not applicable,not applicable
75216,10478.1,,,linear between dates,not applicable,not applicable
75217,10479.7,,,linear between dates,not applicable,not applicable
75218,10481.4,,,linear between dates,not applicable,not applicable
75219,10483,,,linear between dates,not applicable,not applicable
75220,10484.6,,,linear between dates,not applicable,not applicable
75221,10486.2,,,linear between dates,not applicable,not applicable
75222,10487.9,,,linear between dates,not applicable,not applicable
75223,10489.5,,,linear between dates,not applicable,not applicable
75224,10491.1,,,linear between dates,not applicable,not applicable
75225,10492.7,,,linear between dates,not applicable,not applicable
75226,10494.4,,,linear between dates,not applicable,not applicable
75227,10496,,,linear between dates,not applicable,not applicable
75228,10497.4,,,linear between dates,not applicable,not applicable
75229,10498.8,,,linear between dates,not applicable,not applicable
75230,10500.2,,,linear between dates,not applicable,not applicable
75231,10501.6,,,linear between dates,not applicable,not applicable
75232,10503.1,,,linear between dates,not applicable,not applicable
75233,10504.5,,,linear between dates,not applicable,not applicable
75234,10505.9,,,linear between dates,not applicable,not applicable
75235,10507.3,,,linear between dates,not applicable,not applicable
75236,10508.7,,,linear between dates,not applicable,not applicable
75237,10510.1,,,linear between dates,not applicable,not applicable
75238,10511.5,,,linear between dates,not applicable,not applicable
75239,10512.9,,,linear between dates,not applicable,not applicable
75240,10514.3,,,linear between dates,not applicable,not applicable
