"site_id"|"site_name"|"geom"|"wkt"|"min_age_bp"|"max_age_bp"|"age_range_years"|"n_d18o_samples"|"n_d13c_samples"
211|"Xiangshui cave"|"0101000020E61000007B14AE47E1BA5B400000000000403940"|"POINT(110.92 25.25)"|19445|46155158|46135713|"248"|"248"
303|"Crystal cave, Australia"|"0101000020E61000000000000000C05C40CDCCCCCCCC0C41C0"|"POINT(115 -34.1)"|-59|30|89|"246"|"246"
314|"Herolds Bay cave"|"0101000020E6100000A4703D0AD763364066666666660641C0"|"POINT(22.39 -34.05)"|63135|95220|32086|"237"|"242"
45|"Kulishu cave"|"0101000020E61000009A99999999E95C40D7A3703D0AD74340"|"POINT(115.65 39.68)"|NULL|NULL|NULL|"234"|"234"
365|"Pot au Feu"|"0101000020E6100000B81E85EB51B8CE3FC3F5285C8F424540"|"POINT(0.24 42.52)"|65365|138223|72858|"229"|"229"
295|"Qadisha cave"|"0101000020E610000086C954C1A804424048BF7D1D381F4140"|"POINT(36.0364 34.2439)"|-7090|9147|16237|"228"|"228"
327|"Manita peć cave"|"0101000020E61000006C09F9A067F32E409C33A2B437A84640"|"POINT(15.4754 45.3142)"|61086|113973|52887|"228"|"228"
249|"Shigao cave"|"0101000020E6100000A69BC420B0CA5A40022B8716D92E3C40"|"POINT(107.167 28.183)"|-50|9864|9914|"453"|"0"
259|"Cobre cave"|"0101000020E61000007B14AE47E17A11C03D0AD7A3707D4540"|"POINT(-4.37 42.98)"|111937|115970149|115858212|"225"|"225"
329|"Matupi cave"|"0101000020E610000052B81E85EBD13D40000000000000F43F"|"POINT(29.82 1.25)"|3106|18065|14958|"222"|"222"
283|"Babylon cave"|"0101000020E6100000D7A3703D0A6F65409A99999999F944C0"|"POINT(171.47 -41.95)"|1074|12491486|12490412|"219"|"219"
173|"Perdida cave"|"0101000020E61000000000000000C050C00000000000003240"|"POINT(-67 18)"|NULL|NULL|NULL|"216"|"218"
242|"Haozhu cave"|"0101000020E6100000098A1F63EE7E5B40575BB1BFECAE3E40"|"POINT(109.9833 30.6833)"|8552|30372|21819|"422"|"0"
56|"Skala Marion cave"|"0101000020E6100000F90FE9B7AF83384044FAEDEBC0514440"|"POINT(24.5144 40.6387)"|1444|3347374|3345930|"209"|"209"
14|"Lehman caves"|"0101000020E6100000AE47E17A148E5CC0E17A14AE47814340"|"POINT(-114.22 39.01)"|106066|169980616|169874550|"208"|"208"
163|"Gardener's Gut"|"0101000020E6100000713D0AD7A3E0654000000000002043C0"|"POINT(175.02 -38.25)"|-34|11750|11784|"208"|"208"
158|"Nettlebed cave"|"0101000020E6100000F6285C8FC29565403D0AD7A3709D44C0"|"POINT(172.68 -41.23)"|73|33891|33817|"201"|"201"
17|"Huangye cave"|"0101000020E61000005DDC460378475A40DFE00B93A9CA4040"|"POINT(105.1167 33.5833)"|-35|1812|1847|"381"|"0"
222|"Patate cave"|"0101000020E61000005396218E75B14F408A8EE4F21FC233C0"|"POINT(63.3864 -19.7583)"|3347|6194|2847|"190"|"190"
84|"Leány cave"|"0101000020E6100000D7A3703D0AD732409A99999999D94740"|"POINT(18.84 47.7)"|4762|10517|5755|"189"|"189"
175|"Yaoba Don cave"|"0101000020E610000085EB51B81E755B40CDCCCCCCCCCC3C40"|"POINT(109.83 28.8)"|18523|27044831|27026308|"189"|"189"
77|"Chauvet cave"|"0101000020E61000000AD7A3703D0A11403D0AD7A3701D4640"|"POINT(4.26 44.23)"|11413|14257234|14245821|"187"|"187"
151|"Guillotine cave"|"0101000020E610000034A2B437F886654064CC5D4BC82745C0"|"POINT(172.2178 -42.3108)"|-55|9264|9319|"187"|"187"
59|"Suozi cave"|"0101000020E61000007B14AE47E1CA5A40D7A3703D0A374040"|"POINT(107.17 32.43)"|NULL|NULL|NULL|"183"|"183"
357|"Yonderup cave"|"0101000020E61000005C8FC2F528EC5C4079E92631088C3FC0"|"POINT(115.69 -31.547)"|-54|190|244|"183"|"183"
300|"Careys cave"|"0101000020E610000085EB51B81E956240295C8FC2F58841C0"|"POINT(148.66 -35.07)"|NULL|NULL|NULL|"178"|"178"
326|"Linzhu cave"|"0101000020E61000002AA913D044945B40DCD7817346843F40"|"POINT(110.3167 31.5167)"|221913|361444|139530|"356"|"0"
292|"Limnon cave"|"0101000020E6100000F9A067B3EA2336406DE7FBA9F1FA4240"|"POINT(22.1403 37.9605)"|6711|9293772|9287061|"177"|"177"
172|"Wolkberg cave"|"0101000020E6100000E17A14AE47E13D409A999999991938C0"|"POINT(29.88 -24.1)"|46874|56693485|56646611|"176"|"176"
74|"Cango cave"|"0101000020E610000082734694F63636400AD7A3703DB240C0"|"POINT(22.2147 -33.3925)"|NULL|NULL|NULL|"170"|"170"
109|"Molinos cave"|"0101000020E6100000AB3E575BB1BFDCBF3D0AD7A370654440"|"POINT(-0.4492 40.7925)"|4736|11683|6947|"168"|"168"
246|"Palawan cave"|"0101000020E61000009A99999999B95D406666666666662440"|"POINT(118.9 10.2)"|10816|13637777|13626961|"335"|"0"
312|"Heifeng cave"|"0101000020E6100000D656EC2FBBCB5A40DCD7817346043D40"|"POINT(107.1833 29.0167)"|661|20196|19535|"325"|"0"
362|"Labyrinth cave"|"0101000020E61000006666666666C65C4066666666662641C0"|"POINT(115.1 -34.3)"|NULL|NULL|NULL|"161"|"161"
66|"White Scar cave"|"0101000020E6100000B7D100DE028903C0DA1B7C6132154B40"|"POINT(-2.4419 54.1656)"|7351|8359438|8352087|"160"|"160"
294|"Palco cave"|"0101000020E61000000000000000A050C09A99999999593240"|"POINT(-66.5 18.35)"|-49|6161|6210|"318"|"0"
254|"PP29"|"0101000020E61000002D211FF46C163640ED0DBE30991A41C0"|"POINT(22.0876 -34.2078)"|58644|83843674|83785030|"157"|"158"
347|"Shizi cave"|"0101000020E6100000917EFB3A70925A40CA54C1A8A4AE3D40"|"POINT(106.2881 29.6822)"|-61|5618|5679|"312"|"0"
106|"Seso cave"|"0101000020E61000007B14AE47E17AA43F7B14AE47E13A4540"|"POINT(0.04 42.46)"|NULL|NULL|NULL|"153"|"153"
36|"Dayu cave"|"0101000020E61000003333333333935A401B2FDD2406914040"|"POINT(106.3 33.133)"|-33|687|719|"305"|"0"
34|"Cueva del Diablo"|"0101000020E61000006DE7FBA9F1FA58C0FED478E926313240"|"POINT(-99.921 18.192)"|1219|8752092|8750873|"150"|"150"
350|"Toca da Barriguda"|"0101000020E6100000AE47E17A146E44C052B81E85EB5124C0"|"POINT(-40.86 -10.16)"|29516|43577|14061|"298"|"0"
203|"Poleva cave"|"0101000020E6100000E561A1D634BF354096218E75715B4640"|"POINT(21.7469 44.7144)"|NULL|NULL|NULL|"148"|"148"
98|"Crag cave"|"0101000020E61000005C8FC2F528DC22C00000000000204A40"|"POINT(-9.43 52.25)"|-47|10166|10213|"145"|"145"
90|"Trió cave"|"0101000020E61000006666666666263240AE47E17A140E4740"|"POINT(18.15 46.11)"|NULL|NULL|NULL|"142"|"142"
258|"B7 cave"|"0101000020E61000000000000000001C400000000000804840"|"POINT(7 49)"|-55|1352164|1352219|"142"|"142"
288|"Wet Neck cave"|"0101000020E61000008FC2F5285C8F65409A999999995944C0"|"POINT(172.48 -40.7)"|13721|21128|7407|"140"|"140"
233|"Robinson cave"|"0101000020E6100000CDCCCCCCCCEC5AC00000000000804040"|"POINT(-107.7 33)"|69317|75300753|75231436|"136"|"136"
297|"Bàsura cave"|"0101000020E61000006666666666662040713D0AD7A3104640"|"POINT(8.2 44.13)"|2|783|782|"265"|"0"
271|"Jersey cave"|"0101000020E610000048E17A14AE8F62405C8FC2F528DC41C0"|"POINT(148.49 -35.72)"|24952|100740842|100715890|"132"|"132"
239|"Baluk cave"|"0101000020E6100000F4FDD478E92E55408195438B6C374540"|"POINT(84.733 42.433)"|2679|8291|5612|"250"|"0"
103|"Lapa Doce cave"|"0101000020E6100000857CD0B359CD44C097900F7A36AB28C0"|"POINT(-41.6043 -12.3344)"|-60|39|99|"124"|"124"
161|"Aurora cave"|"0101000020E61000001C7C613255F664402041F163CCA546C0"|"POINT(167.6979 -45.2953)"|1708|7089|5382|"124"|"124"
237|"Umajalanta cave"|"0101000020E6100000E17A14AE477150C01F85EB51B81E32C0"|"POINT(-65.77 -18.12)"|581|1332|751|"242"|"0"
317|"Jiangjun cave"|"0101000020E61000002AA913D044345A403333333333F33640"|"POINT(104.8167 22.95)"|NULL|NULL|NULL|"120"|"120"
337|"Pir Ghar cave"|"0101000020E6100000F6285C8FC2B54C403D0AD7A3709D4140"|"POINT(57.42 35.23)"|71132|97533|26401|"116"|"116"
191|"Devil's Icebox cave"|"0101000020E610000033333333330357C03333333333134340"|"POINT(-92.05 38.15)"|752|3723|2971|"115"|"115"
118|"Clearwater cave"|"0101000020E61000006FF085C954B55C406666666666661040"|"POINT(114.8333 4.1)"|108726|152170258|152061532|"228"|"0"
315|"Huangchao cave"|"0101000020E61000006FF085C954955D40BBB88D06F04E4240"|"POINT(118.3333 36.6167)"|225|2123|1898|"111"|"111"
348|"Sudwala cave"|"0101000020E61000003333333333B334401F85EB51B85E39C0"|"POINT(20.7 -25.37)"|12758|40665|27907|"109"|"109"
252|"Andriamaniloke"|"0101000020E6100000D42B6519E2E04540931804560E0D38C0"|"POINT(43.7569 -24.051)"|15265|16750028|16734763|"106"|"106"
310|"Golgotha cave"|"0101000020E61000003333333333C35C40B4C876BE9F0A41C0"|"POINT(115.05 -34.083)"|NULL|NULL|NULL|"101"|"101"
169|"Doubtful Xanadu"|"0101000020E610000044696FF085E164402B8716D9CEAF46C0"|"POINT(167.0476 -45.3735)"|2898|10331799|10328901|"96"|"96"
86|"Modric cave"|"0101000020E610000089D2DEE00B132F4070CE88D2DE204640"|"POINT(15.5372 44.2568)"|NULL|NULL|NULL|"95"|"95"
332|"Murada"|"0101000020E6100000B81E85EB51B80F40EE7C3F355EFA4340"|"POINT(3.965 39.956)"|113773|125283|11510|"93"|"93"
112|"Xinya cave"|"0101000020E6100000AE47E17A145E5B400000000000C03E40"|"POINT(109.47 30.75)"|59128|67827262|67768134|"185"|"0"
62|"Torrinha cave"|"0101000020E610000093A9825149CD44C06DE7FBA9F1B228C0"|"POINT(-41.6038 -12.3495)"|-60|75|135|"91"|"91"
338|"Coves del pirata"|"0101000020E610000063EE5A423E680A40E3C798BB96C04340"|"POINT(3.3009 39.5046)"|185|1829|1644|"90"|"90"
168|"Wazpretti cave"|"0101000020E6100000CDCCCCCCCC6C6540CDCCCCCCCC0C45C0"|"POINT(171.4 -42.1)"|4571|13595|9024|"85"|"85"
83|"La Mine cave"|"0101000020E61000005C8FC2F5285C2340A4703D0AD7034240"|"POINT(9.68 36.03)"|5293|23111|17818|"78"|"78"
102|"Korallgrottan cave"|"0101000020E610000052B81E85EB512C40295C8FC2F5385040"|"POINT(14.16 64.89)"|4713|9001|4288|"73"|"73"
164|"Max's cave"|"0101000020E6100000FB3A70CE88E06540EEEBC039232243C0"|"POINT(175.0167 -38.2667)"|NULL|NULL|NULL|"61"|"61"
267|"Gruta do Casal da Lebre"|"0101000020E6100000B8AF03E78C8822C06666666666A64340"|"POINT(-9.2667 39.3)"|153180|184641085|184487905|"55"|"55"
199|"Lynds cave"|"0101000020E610000000000000004862400AD7A3703DCA44C0"|"POINT(146.25 -41.58)"|5086|9101|4016|"53"|"53"
162|"Calcite cave (Mt Luxmore, Fiordland)"|"0101000020E610000048E17A14AEF76440C3F5285C8F0247C0"|"POINT(167.74 -46.02)"|1699|9284|7585|"51"|"51"
340|"Qujia cave"|"0101000020E61000009A99999999995D409A99999999D94140"|"POINT(118.4 35.7)"|238|394|156|"95"|"0"
46|"Labyrintgrottan cave"|"0101000020E61000005C8FC2F5285C2D40A4703D0AD7835040"|"POINT(14.68 66.06)"|NULL|NULL|NULL|"46"|"46"
285|"Disbelief cave"|"0101000020E6100000713D0AD7A3306640295C8FC2F56843C0"|"POINT(177.52 -38.82)"|679|7666|6987|"46"|"46"
299|"Calabrez"|"0101000020E610000085EB51B81E8514C09A99999999B94540"|"POINT(-5.13 43.45)"|NULL|NULL|NULL|"42"|"42"
149|"Arch cave"|"0101000020E610000014AE47E17AC45FC06666666666464940"|"POINT(-127.07 50.55)"|11|12136|12125|"40"|"40"
256|"Lithophagus cave"|"0101000020E61000009A99999999993640448B6CE7FB694740"|"POINT(22.6 46.828)"|53489|135657|82168|"40"|"40"
284|"Creighton`s cave"|"0101000020E6100000D7A3703D0A8F6540713D0AD7A35044C0"|"POINT(172.47 -40.63)"|NULL|NULL|NULL|"40"|"40"
91|"Ursilor cave"|"0101000020E61000006F1283C0CA913640C9E53FA4DF464740"|"POINT(22.5695 46.5537)"|489|7058|6570|"39"|"39"
282|"Wadi Sannur cave"|"0101000020E6100000F1F44A5986483F4076711B0DE09D3C40"|"POINT(31.2833 28.6167)"|NULL|NULL|NULL|"70"|"0"
287|"Twin Forks cave"|"0101000020E61000008FC2F5285C8F6540713D0AD7A35044C0"|"POINT(172.48 -40.63)"|NULL|NULL|NULL|"34"|"34"
40|"Excentrica cave"|"0101000020E610000014AE47E17A141FC0CDCCCCCCCC8C4240"|"POINT(-7.77 37.1)"|NULL|NULL|NULL|"32"|"32"
167|"Waiau cave"|"0101000020E61000008FC2F5285CF7644000000000000047C0"|"POINT(167.73 -46)"|NULL|NULL|NULL|"26"|"26"
