"site_id"|"site_name"|"geom"|"wkt"|"min_age_bp"|"max_age_bp"|"age_range_years"|"n_d18o_samples"|"n_d13c_samples"
19|"Kanaan cave"|"0101000020E6100000A1F831E6AECD4140075F984C15F44040"|"POINT(35.6069 33.9069)"|83432|191448642|191365210|"965"|"965"
346|"Shijiangjun cave"|"0101000020E61000000000000000605A403333333333333A40"|"POINT(105.5 26.2)"|682|3103|2421|"959"|"959"
16|"Han-sur-Lesse cave"|"0101000020E6100000FE43FAEDEBC0144090A0F831E60E4940"|"POINT(5.1884 50.1164)"|4719|125221641|125216922|"953"|"953"
127|"Xiaobailong cave"|"0101000020E6100000D7A3703D0AD759403333333333333840"|"POINT(103.36 24.2)"|5346|251386631|251381285|"1874"|"0"
137|"Kinderlinskaya cave"|"0101000020E6100000CDCCCCCCCC6C4C403333333333134B40"|"POINT(56.85 54.15)"|-50|10126415|10126465|"933"|"933"
202|"Piani Eterni karst system"|"0101000020E61000007B14AE47E1FA274014AE47E17A144740"|"POINT(11.99 46.16)"|84275|288977211|288892936|"930"|"930"
144|"Botuverá cave"|"0101000020E6100000075F984C159448C044696FF085393BC0"|"POINT(-49.1569 -27.2247)"|-50|115348348|115348398|"920"|"920"
49|"McLean's cave"|"0101000020E61000007B14AE47E11A5EC0295C8FC2F5084340"|"POINT(-120.42 38.07)"|11768|18953416|18941648|"900"|"900"
192|"El Condor cave"|"0101000020E610000033333333335353C0B81E85EB51B817C0"|"POINT(-77.3 -5.93)"|36280|41287|5007|"1047"|"742"
72|"Ascunsa cave"|"0101000020E61000009A999999999936400000000000804640"|"POINT(22.6 45)"|-32|44385079|44385111|"890"|"890"
324|"La Vallina"|"0101000020E610000099BB96900F3A13C014AE47E17AB44540"|"POINT(-4.8067 43.41)"|73035|193986|120951|"890"|"890"
7|"Cold Air cave"|"0101000020E6100000575BB1BFEC2E3D4000000000000038C0"|"POINT(29.1833 -24)"|-46|315|361|"886"|"886"
29|"Mairs cave"|"0101000020E6100000C3F5285C8F5A614014AE47E17A1440C0"|"POINT(138.83 -32.16)"|14935|22230003|22215068|"878"|"878"
27|"Tamboril cave"|"0101000020E610000000000000008047C000000000000030C0"|"POINT(-47 -16)"|-20|10121|10142|"866"|"866"
307|"Efflux cave"|"0101000020E6100000D7A3703D0A57364014AE47E17AB440C0"|"POINT(22.34 -33.41)"|18571|110877|92305|"861"|"870"
298|"Belum cave"|"0101000020E610000066666666668653403333333333332E40"|"POINT(78.1 15.1)"|81921|183086|101166|"861"|"861"
82|"Hollywood cave"|"0101000020E6100000D7A3703D0A6F65409A99999999F944C0"|"POINT(171.47 -41.95)"|-8|40692223|40692231|"856"|"856"
269|"Gejkar cave"|"0101000020E6100000931804560E9546406666666666E64140"|"POINT(45.1645 35.8)"|-60|2475|2535|"840"|"840"
334|"Nova Grgosova cave"|"0101000020E6100000ECC039234A5B2F407FFB3A70CEE84640"|"POINT(15.6783 45.8188)"|-121|9998|10119|"839"|"839"
351|"Trapiá cave"|"0101000020E61000009A99999999D942C066666666666616C0"|"POINT(-37.7 -5.6)"|NULL|NULL|NULL|"819"|"855"
323|"Kyok-Tash cave"|"0101000020E6100000448B6CE7FB6955405A643BDF4FDD4940"|"POINT(85.656 51.729)"|8876|11395|2519|"818"|"818"
353|"Wintimdouine"|"0101000020E61000007B14AE47E1FA22C085EB51B81EC53E40"|"POINT(-9.49 30.77)"|98|12483|12385|"1597"|"0"
355|"Xiniu cave"|"0101000020E610000014AE47E17AA45B40DCD7817346843F40"|"POINT(110.57 31.5167)"|259|837|578|"791"|"791"
31|"Abaliget cave"|"0101000020E610000076711B0DE01D3240454772F90F114740"|"POINT(18.1167 46.1333)"|118125|159242692|159124567|"779"|"779"
313|"Herbstlabyrinth cave"|"0101000020E61000009A081B9E5E6920400000000000584940"|"POINT(8.2058 50.6875)"|-49|8505|8554|"773"|"773"
128|"Buckeye creek"|"0101000020E61000009A999999991954C03D0AD7A370FD4240"|"POINT(-80.4 37.98)"|45762|334064349|334018587|"1533"|"0"
263|"Bulgarian Orlova Chuka cave"|"0101000020E6100000A1F831E6AEF539404ED1915CFECB4540"|"POINT(25.9597 43.5937)"|112873|136589568|136476695|"763"|"763"
133|"Buca della Renella"|"0101000020E6100000EC51B81E856B24400AD7A3703D0A4640"|"POINT(10.21 44.08)"|1148|3832049|3830901|"758"|"759"
360|"Bigonda cave"|"0101000020E6100000B6F3FDD478292740FCA9F1D24D024740"|"POINT(11.581 46.018)"|104136|134063|29927|"758"|"758"
232|"Rio Secreto cave system"|"0101000020E6100000B81E85EB51C855C0D7A3703D0A973440"|"POINT(-87.13 20.59)"|1558|26335812|26334254|"1138"|"333"
42|"Ifoulki cave"|"0101000020E610000048E17A14AEA722C06891ED7C3FB53E40"|"POINT(-9.3275 30.708)"|-80|1538|1618|"727"|"727"
165|"Ruakuri cave"|"0101000020E6100000C3F5285C8FE26540C3F5285C8F2242C0"|"POINT(175.08 -36.27)"|529|73379873|73379344|"726"|"726"
213|"Tausoare cave"|"0101000020E6100000DCD7817346843840ACADD85F76B74740"|"POINT(24.5167 47.4333)"|19645|53208783|53189138|"722"|"722"
160|"Soreq cave"|"0101000020E6100000DE718A8EE48241401A51DA1B7CC13F40"|"POINT(35.0226 31.7558)"|331|23915367|23915036|"1432"|"0"
260|"Crovassa Azzurra"|"0101000020E6100000F6285C8FC2F52040A4703D0AD7A34340"|"POINT(8.48 39.28)"|NULL|NULL|NULL|"707"|"707"
290|"Grete-Ruth Shaft"|"0101000020E610000004E78C28ED0D2840CC7F48BF7DC54740"|"POINT(12.0272 47.5429)"|NULL|NULL|NULL|"705"|"705"
336|"Pentadactylos"|"0101000020E61000005C8FC2F528BC4040C3F5285C8FA24140"|"POINT(33.47 35.27)"|103928|174583|70655|"685"|"684"
65|"Whiterock cave"|"0101000020E6100000D7A3703D0AB75C409A99999999991040"|"POINT(114.86 4.15)"|113820|154196175|154082355|"1142"|"189"
234|"Santana cave"|"0101000020E610000069006F81045D48C080B74082E28738C0"|"POINT(-48.7267 -24.5308)"|-55|128221231|128221286|"661"|"661"
85|"Macal Chasm"|"0101000020E6100000F4FDD478E94656C0355EBA490CE23040"|"POINT(-89.108 16.883)"|-38|5184|5221|"660"|"660"
352|"War Eagle"|"0101000020E610000033333333338355C0F6285C8FC2554140"|"POINT(-86.05 34.67)"|217|12212|11995|"659"|"657"
142|"Tianmen"|"0101000020E61000002AA913D044845640423EE8D9ACEA3E40"|"POINT(90.0667 30.9167)"|3997|126844781|126840784|"1313"|"0"
200|"Minnetonka cave"|"0101000020E6100000F0A7C64B37E15BC033333333330B4540"|"POINT(-111.519 42.0875)"|-53|11126|11179|"644"|"644"
286|"La Garma cave"|"0101000020E6100000166A4DF38E530DC02CD49AE61DB74540"|"POINT(-3.6658 43.4306)"|-31|13484266|13484297|"765"|"497"
64|"Wah Shikhar cave"|"0101000020E61000005DDC460378F756400000000000403940"|"POINT(91.8667 25.25)"|-58|602|659|"625"|"602"
366|"Savi cave"|"0101000020E6100000151DC9E53FC42B40BBB88D06F0CE4640"|"POINT(13.8833 45.6167)"|10379|13095|2717|"609"|"609"
134|"Cave of the Bells"|"0101000020E61000000000000000B05BC00000000000C03F40"|"POINT(-110.75 31.75)"|NULL|NULL|NULL|"1191"|"0"
243|"Kailash cave"|"0101000020E6100000FA7E6ABC747F5440D578E92631D83240"|"POINT(81.9915 18.8445)"|10896|14674587|14663691|"1186"|"0"
204|"Xibalba cave"|"0101000020E610000000000000004056C00000000000803040"|"POINT(-89 16.5)"|-57|227921|227978|"595"|"582"
345|"Schratten cave"|"0101000020E6100000B8AF03E78C882040787AA52C43644740"|"POINT(8.2667 46.7833)"|112121|120986|8865|"584"|"584"
99|"Dante cave"|"0101000020E61000008A8EE4F21FE2314066666666666633C0"|"POINT(17.8833 -19.4)"|11|1366484|1366473|"579"|"579"
301|"Cathedral cave"|"0101000020E6100000AE47E17A149E6240E5D022DBF94E40C0"|"POINT(148.94 -32.617)"|-60|13|73|"575"|"575"
71|"Baradla cave"|"0101000020E6100000000000000080344088855AD3BC3B4840"|"POINT(20.5 48.4667)"|107920|127766719|127658799|"559"|"559"
174|"Zhuliuping cave"|"0101000020E6100000AE47E17A14065A40DCD7817346043A40"|"POINT(104.095 26.0167)"|NULL|NULL|NULL|"547"|"547"
244|"Lianhua cave, Shanxi"|"0101000020E6100000C442AD69DE6D5C40211FF46C56154340"|"POINT(113.7167 38.1667)"|194|10989949|10989755|"1084"|"0"
38|"Diva cave"|"0101000020E6100000FE65F7E461C944C04FAF946588C328C0"|"POINT(-41.5733 -12.3819)"|42|2765|2723|"539"|"539"
193|"Frasassi cave system - Grotta Grande del Vento"|"0101000020E6100000780B24287EEC29404F1E166A4DB34540"|"POINT(12.9619 43.4008)"|NULL|NULL|NULL|"537"|"539"
328|"Mata Virgem cave"|"0101000020E61000001F85EB51B8BE47C03D0AD7A3703D27C0"|"POINT(-47.49 -11.62)"|256|1037|781|"536"|"536"
225|"Chiflonkhakha cave"|"0101000020E6100000F697DD93877150C03A92CB7F481F32C0"|"POINT(-65.7739 -18.1222)"|-28|1318|1346|"683"|"371"
273|"Crystal cave"|"0101000020E610000014AE47E17AB45DC0EC51B81E854B4240"|"POINT(-118.82 36.59)"|-56|1078|1134|"1054"|"0"
341|"Rey Marcos"|"0101000020E61000002EFF21FDF69156C097FF907EFBDA2E40"|"POINT(-90.2807 15.4277)"|81|12641|12560|"520"|"520"
178|"Yamen cave"|"0101000020E61000009A99999999F95A4024287E8CB97B3940"|"POINT(107.9 25.4833)"|6618|14151137|14144519|"1020"|"0"
154|"Jiuxian cave"|"0101000020E61000006666666666465B40545227A089C84040"|"POINT(109.1 33.5667)"|-47|11342004|11342051|"1019"|"0"
358|"Zhangjia cave"|"0101000020E61000006FF085C954455A40DFE00B93A94A4040"|"POINT(105.0833 32.5833)"|37072|41108|4036|"1017"|"0"
