"site_id"|"site_name"|"entity_id"|"entity_name"|"sample_id"|"age_bp"|"age_uncert_pos"|"age_uncert_neg"|"d18o_permille"|"d13c_permille"
144|"Botuverá cave"|312|"BT-2"|177823|"76854.6594"|"1571.002118"|"1654.922588"|"-3.09"|"-5.8"
144|"Botuverá cave"|312|"BT-2"|177824|"76997.66488"|"1503.708259"|"1590.097748"|"-3.37"|"-5.6"
144|"Botuverá cave"|312|"BT-2"|177825|"77140.57418"|"1445.278517"|"1521.531904"|"-3.34"|"-6.2"
144|"Botuverá cave"|312|"BT-2"|177826|"77285.07863"|"1399.925784"|"1472.602146"|"-3.63"|"-6.24"
144|"Botuverá cave"|312|"BT-2"|177827|"77413.81308"|"1368.802856"|"1401.661959"|"-3.57"|"-6.13"
144|"Botuverá cave"|312|"BT-2"|177828|"77556.7538"|"1313.020435"|"1349.846782"|"-3.42"|"-6.23"
144|"Botuverá cave"|312|"BT-2"|177829|"77698.34062"|"1273.961029"|"1296.472146"|"-3.19"|"-5.2"
144|"Botuverá cave"|312|"BT-2"|177830|"77840.03968"|"1223.080395"|"1225.05861"|"-2.87"|"-5.32"
144|"Botuverá cave"|312|"BT-2"|177831|"77987.0178"|"1192.127215"|"1179.128289"|"-1.8"|"-5.72"
144|"Botuverá cave"|312|"BT-2"|177832|"78130.19419"|"1158.136358"|"1142.431932"|"-1.91"|"-5.16"
144|"Botuverá cave"|312|"BT-2"|177833|"78276.49951"|"1111.03807"|"1108.768746"|"-2.2"|"-5.65"
144|"Botuverá cave"|312|"BT-2"|177834|"78420.86066"|"1073.018243"|"1082.937315"|"-1.81"|"-5.62"
144|"Botuverá cave"|312|"BT-2"|177835|"78562.93544"|"1058.884888"|"1049.249592"|"-2.06"|"-5.36"
144|"Botuverá cave"|312|"BT-2"|177836|"78707.96297"|"1031.321267"|"1031.760418"|"-1.89"|"-6.19"
144|"Botuverá cave"|312|"BT-2"|177837|"78851.63541"|"1011.824488"|"1010.346433"|"-2.3"|"-6.54"
144|"Botuverá cave"|312|"BT-2"|177838|"78992.14731"|"989.1427797"|"996.9559228"|"-2.08"|"-6.3"
144|"Botuverá cave"|312|"BT-2"|177839|"79131.24338"|"989.0592109"|"994.6559378"|"-2.02"|"-6.25"
144|"Botuverá cave"|312|"BT-2"|177840|"79264.49701"|"989.3581531"|"978.0062315"|"-2.02"|"-6.43"
144|"Botuverá cave"|312|"BT-2"|177841|"79405.16546"|"991.5807782"|"964.3453527"|"-2.01"|"-6.34"
144|"Botuverá cave"|312|"BT-2"|177842|"79553.9639"|"992.5999308"|"974.9429605"|"-1.86"|"-5.95"
144|"Botuverá cave"|312|"BT-2"|177843|"79690.41525"|"1022.314351"|"968.212667"|"-2.02"|"-6.36"
144|"Botuverá cave"|312|"BT-2"|177845|"79973.07257"|"1060.006408"|"988.8908489"|"-1.65"|"-6.17"
144|"Botuverá cave"|312|"BT-2"|177846|"80063.93961"|"1030.330542"|"988.5773621"|"-1.6"|"-5.26"
144|"Botuverá cave"|312|"BT-2"|177847|"80140.75314"|"1000.235971"|"973.5367169"|"-2.24"|"-6.32"
144|"Botuverá cave"|312|"BT-2"|177848|"80219.62444"|"963.5932757"|"955.1382488"|"-2.01"|"-6.21"
144|"Botuverá cave"|312|"BT-2"|177849|"80292.90728"|"944.2461571"|"952.6176685"|"-1.78"|"-6.02"
144|"Botuverá cave"|312|"BT-2"|177850|"80367.81072"|"925.7583781"|"940.0767761"|"-1.52"|"-5.9"
144|"Botuverá cave"|312|"BT-2"|177851|"80441.16285"|"899.317669"|"922.1165406"|"-1.75"|"-5.34"
144|"Botuverá cave"|312|"BT-2"|177852|"80519.4716"|"869.5455839"|"904.3717262"|"-1.43"|"-5.79"
144|"Botuverá cave"|312|"BT-2"|177853|"80595.62015"|"856.2794848"|"905.0088846"|"-1.96"|"-6.01"
144|"Botuverá cave"|312|"BT-2"|177854|"80666.82129"|"850.7432881"|"901.7637917"|"-1.55"|"-5.64"
144|"Botuverá cave"|312|"BT-2"|177855|"80738.3249"|"852.5467136"|"889.751814"|"-1.5"|"-5.98"
144|"Botuverá cave"|312|"BT-2"|177856|"80816.22407"|"840.8130488"|"889.6758775"|"-1.83"|"-5.95"
144|"Botuverá cave"|312|"BT-2"|177857|"80884.23737"|"844.8775826"|"879.375739"|"-1.62"|"-6.27"
144|"Botuverá cave"|312|"BT-2"|177858|"80959.28613"|"858.1617772"|"884.8471665"|"-1.5"|"-5.89"
144|"Botuverá cave"|312|"BT-2"|177859|"81034.95862"|"868.3387179"|"897.7396386"|"-1.22"|"-5.46"
144|"Botuverá cave"|312|"BT-2"|177860|"81104.79898"|"881.0865736"|"899.8383408"|"-1.42"|"-6"
144|"Botuverá cave"|312|"BT-2"|177861|"81174.43271"|"902.204846"|"915.9548181"|"-1.02"|"-5.68"
144|"Botuverá cave"|312|"BT-2"|177862|"81250.39619"|"909.8634822"|"939.4245854"|"-1.65"|"-6.32"
144|"Botuverá cave"|312|"BT-2"|177863|"81309.98011"|"941.5369497"|"940.3271925"|"-2.63"|"-6.85"
144|"Botuverá cave"|312|"BT-2"|177864|"81385.07977"|"965.2615023"|"963.2610604"|"-2.08"|"-6.88"
144|"Botuverá cave"|312|"BT-2"|177865|"81460.24573"|"987.8008053"|"991.3272051"|"-1.74"|"-6.56"
144|"Botuverá cave"|312|"BT-2"|177866|"81528.79573"|"1013.829938"|"1009.917966"|"-1.69"|"-6.32"
144|"Botuverá cave"|312|"BT-2"|177867|"81603.64188"|"1050.645399"|"1045.124734"|"-1.14"|"-5.92"
144|"Botuverá cave"|312|"BT-2"|177868|"81681.45671"|"1079.640747"|"1085.595308"|"-1.47"|"-5.5"
144|"Botuverá cave"|312|"BT-2"|177869|"81749.73858"|"1100.242414"|"1096.884117"|"-1.45"|"-5.86"
